-	0000012080-001
A	0000000001-001	0000000001-002	0000003048-004	0000018787-001	0000018817-001	0000023922-001	0000036516-001
a	0000000199-004	0000000258-001	0000000280-001	0000000282-001	0000000330-001	0000001300-002	0000001562-004	0000001702-011	0000002060-001	0000002104-001	0000002104-002	0000002107-002	0000002165-001	0000002201-001	0000002216-001	0000002252-006	0000002271-001	0000002271-005	0000002272-001	0000002280-001	0000002285-001	0000002337-006	0000002376-001	0000002410-001	0000002410-004	0000002451-001	0000002451-002	0000002472-001	0000002485-005	0000002518-004	0000002519-001	0000002519-002	0000002524-001	0000002549-001	0000002553-003	0000002597-001	0000002606-002	0000002613-001	0000002624-001	0000002626-010	0000002690-001	0000002690-002	0000002690-003	0000002700-001	0000002712-001	0000002777-001	0000002777-002	0000002777-003	0000002777-005	0000002852-001	0000002877-005	0000002994-001	0000002994-002	0000003014-004	0000003048-001	0000003048-002	0000003048-003	0000003048-005	0000003048-006	0000003086-001	0000003086-002	0000003086-003	0000003086-004	0000003086-008	0000003086-009	0000003090-001	0000003160-002	0000003162-001	0000003172-001	0000003178-001	0000003202-001	0000003208-001	0000003208-002	0000003208-003	0000003282-001	0000003294-002	0000003394-002	0000003438-001	0000003438-002	0000003439-002	0000003450-001	0000003460-001	0000003460-002	0000003460-005	0000003460-007	0000003460-009	0000003591-001	0000003635-004	0000003762-017	0000003762-018	0000003779-001	0000003786-001	0000003786-003	0000003818-002	0000003818-003	0000004003-001	0000004067-001	0000004067-002	0000004113-001	0000004115-001	0000004115-002	0000004125-001	0000004164-010	0000004175-001	0000004247-001	0000004247-002	0000004345-001	0000004345-002	0000004463-001	0000004487-002	0000004493-001	0000004535-001	0000004567-002	0000004596-001	0000004631-002	0000004757-001	0000004814-003	0000004814-006	0000004895-001	0000004977-001	0000005107-005	0000005107-006	0000005107-008	0000005107-009	0000005113-003	0000005113-004	0000005113-005	0000005113-006	0000005113-008	0000005137-001	0000005149-002	0000005168-001	0000005168-002	0000005359-001	0000005365-001	0000005365-002	0000005424-001	0000005521-001	0000005622-001	0000005632-001	0000005653-001	0000005766-001	0000005796-010	0000005796-011	0000005836-001	0000005836-004	0000005861-001	0000005913-001	0000006010-001	0000006034-002	0000006111-001	0000006232-001	0000006332-001	0000006463-002	0000006637-001	0000006637-002	0000006739-001	0000007126-001	0000007199-001	0000007238-001	0000007273-001	0000007273-008	0000007355-001	0000007375-001	0000007394-001	0000007423-001	0000007468-001	0000007499-001	0000007568-009	0000007570-001	0000007570-002	0000007602-001	0000007606-002	0000007705-003	0000007724-017	0000007832-003	0000007838-001	0000007842-001	0000007845-001	0000007911-001	0000007934-007	0000007934-022	0000007934-023	0000007934-024	0000007934-030	0000007934-037	0000007953-001	0000007983-002	0000007987-001	0000007987-002	0000007987-003	0000007987-004	0000007987-005	0000008022-001	0000008245-003	0000008304-001	0000008383-001	0000008402-001	0000008516-001	0000008616-001	0000008616-002	0000008667-001	0000008717-001	0000008717-004	0000008763-001	0000008772-001	0000008772-002	0000008856-002	0000008869-001	0000009165-001	0000009165-002	0000009165-005	0000009218-001	0000009322-001	0000009328-001	0000009328-004	0000009328-005	0000009363-001	0000009369-001	0000009442-001	0000009529-001	0000009535-001	0000009535-002	0000009535-008	0000009559-011	0000009643-001	0000009681-001	0000009681-002	0000009681-003	0000009681-007	0000009771-015	0000009771-016	0000009802-002	0000009809-001	0000009815-002	0000009847-002	0000009847-003	0000009872-002	0000010026-001	0000010082-001	0000010140-001	0000010244-002	0000010845-001	0000010923-001	0000011047-011	0000011227-003	0000011243-005	0000011323-002	0000011323-003	0000011323-004	0000011380-015	0000011423-001	0000011423-011	0000011423-013	0000011423-015	0000011423-017	0000011449-001	0000011449-003	0000011449-006	0000011449-009	0000011544-001	0000011567-003	0000011620-001	0000011639-001	0000011639-002	0000011646-001	0000011672-003	0000011682-001	0000011708-001	0000011708-002	0000011710-001	0000011746-010	0000011746-011	0000011836-001	0000011841-001	0000011841-005	0000011841-006	0000011841-007	0000011841-009	0000011841-010	0000011841-011	0000011865-003	0000011872-001	0000011903-002	0000011906-010	0000011906-011	0000011913-001	0000011916-001	0000011916-002	0000011916-003	0000011982-001	0000011990-001	0000011992-007	0000011992-010	0000011992-011	0000011992-012	0000012013-009	0000012067-001	0000012080-001	0000012090-002	0000012090-004	0000012113-002	0000012116-006	0000012117-002	0000012125-001	0000012132-005	0000012191-004	0000012191-005	0000012191-006	0000012204-001	0000012235-001	0000012262-002	0000012299-001	0000012387-001	0000012393-001	0000012393-002	0000012393-005	0000012405-001	0000012429-001	0000012487-003	0000012487-004	0000012495-001	0000012496-007	0000012496-019	0000012496-030	0000012599-001	0000012609-001	0000012638-001	0000012680-001	0000012747-001	0000012776-001	0000012776-002	0000012820-001	0000012820-002	0000012839-001	0000012839-002	0000012898-001	0000012970-001	0000013006-001	0000013067-001	0000013069-001	0000013110-001	0000013148-001	0000013148-002	0000013155-001	0000013244-001	0000013262-001	0000013290-001	0000013339-001	0000013607-001	0000013610-001	0000013693-003	0000013713-001	0000013748-001	0000013757-001	0000013761-001	0000013778-001	0000013796-083	0000013796-084	0000013796-085	0000013796-086	0000013796-088	0000013905-008	0000013905-010	0000013905-012	0000013905-017	0000013905-022	0000014002-002	0000014004-003	0000014004-004	0000014047-001	0000014164-001	0000014249-001	0000014264-004	0000014269-003	0000014291-001	0000014376-001	0000014452-002	0000014518-002	0000014552-001	0000014552-002	0000014552-003	0000014552-011	0000014553-001	0000014582-001	0000014582-002	0000014613-001	0000014648-022	0000014648-030	0000014648-032	0000014648-048	0000014656-001	0000014672-003	0000014700-001	0000014700-002	0000014700-025	0000014780-001	0000014818-001	0000014832-005	0000014849-001	0000014880-001	0000014909-005	0000014909-008	0000014909-019	0000014909-020	0000014909-038	0000014969-001	0000014969-003	0000014981-009	0000014981-010	0000014984-001	0000014984-002	0000015071-001	0000015077-001	0000015086-001	0000015136-010	0000015299-001	0000015328-001	0000015359-012	0000015359-013	0000015414-024	0000015414-025	0000015414-026	0000015414-030	0000015414-031	0000015423-002	0000015423-003	0000015458-004	0000015578-001	0000015581-001	0000015583-008	0000015583-009	0000015598-001	0000015603-001	0000015613-001	0000015618-001	0000015618-002	0000015618-004	0000015647-001	0000015675-001	0000015690-004	0000015764-001	0000015767-001	0000015768-001	0000015768-002	0000015831-001	0000015833-001	0000015833-002	0000015833-004	0000015833-006	0000015864-005	0000016064-005	0000016065-002	0000016871-001	0000017116-001	0000017395-001	0000017395-003	0000017529-001	0000017561-002	0000017689-001	0000017717-001	0000017717-003	0000017717-005	0000017717-006	0000017754-001	0000017754-003	0000017754-004	0000017769-001	0000017803-001	0000017837-010	0000017904-001	0000017964-001	0000017964-002	0000017986-011	0000017986-012	0000018007-001	0000018025-001	0000018025-006	0000018025-007	0000018063-001	0000018063-002	0000018089-001	0000018099-002	0000018100-001	0000018121-014	0000018180-001	0000018235-001	0000018240-001	0000018327-001	0000018375-001	0000018393-007	0000018393-008	0000018416-001	0000018416-005	0000018436-009	0000018472-001	0000018472-002	0000018477-001	0000018477-002	0000018478-002	0000018478-003	0000018487-004	0000018487-005	0000018502-001	0000018503-001	0000018539-001	0000018550-002	0000018550-004	0000018550-006	0000018564-001	0000018630-017	0000018719-001	0000018726-003	0000018729-002	0000018729-003	0000018732-002	0000018743-001	0000018743-008	0000018778-001	0000018781-002	0000018784-002	0000018784-005	0000018822-001	0000018833-001	0000018863-001	0000018863-009	0000018863-011	0000018891-002	0000018904-004	0000018904-008	0000018965-004	0000018965-005	0000018965-006	0000018965-011	0000018965-013	0000018965-015	0000019009-004	0000019009-005	0000019009-006	0000019010-001	0000019070-001	0000019070-002	0000019139-001	0000019163-002	0000019166-005	0000019169-001	0000019193-001	0000019196-001	0000019196-002	0000019203-001	0000019203-002	0000019204-001	0000019232-004	0000019324-022	0000019354-001	0000019367-003	0000019512-003	0000019558-001	0000019676-005	0000019676-011	0000019705-001	0000019743-002	0000019771-001	0000019771-002	0000019771-003	0000019771-004	0000019771-013	0000019787-002	0000019801-001	0000019859-001	0000019920-001	0000019938-001	0000019938-002	0000020003-001	0000020009-001	0000020086-001	0000020102-001	0000020183-001	0000020321-001	0000020321-002	0000020512-001	0000020531-001	0000020553-001	0000020558-001	0000020575-003	0000020575-014	0000020575-016	0000020575-017	0000020610-001	0000020626-001	0000020626-002	0000020638-003	0000020669-001	0000020733-003	0000020763-001	0000020826-001	0000020888-001	0000020903-007	0000020903-008	0000020945-001	0000020945-002	0000020945-003	0000020948-001	0000020999-001	0000020999-002	0000020999-003	0000020999-005	0000021016-001	0000021048-001	0000021048-002	0000021048-003	0000021048-004	0000021048-017	0000021048-024	0000021192-001	0000021199-002	0000021199-007	0000021201-001	0000021211-017	0000021211-018	0000021247-007	0000021247-009	0000021248-001	0000021277-001	0000021337-002	0000021444-001	0000021459-015	0000021459-016	0000021459-024	0000021560-002	0000021630-004	0000021645-001	0000021700-001	0000021700-003	0000021854-001	0000021854-003	0000021854-005	0000021854-006	0000021854-007	0000021943-001	0000021956-001	0000022027-001	0000022100-001	0000022100-005	0000022116-002	0000022124-003	0000022132-001	0000022132-002	0000022196-001	0000022202-001	0000022202-005	0000022228-001	0000022240-001	0000022345-001	0000022419-001	0000022567-001	0000022567-005	0000022567-009	0000022568-001	0000022574-002	0000022579-001	0000022579-002	0000022601-001	0000023286-001	0000023301-001	0000023372-001	0000023599-001	0000023612-001	0000023619-019	0000023630-001	0000023665-002	0000023668-001	0000023694-001	0000023772-001	0000023786-001	0000023823-001	0000023853-001	0000023853-002	0000023853-003	0000023922-002	0000023922-003	0000023922-005	0000023922-007	0000023922-009	0000023944-001	0000024263-001	0000024358-001	0000024370-001	0000024385-002	0000024397-001	0000024397-002	0000024397-003	0000024419-001	0000024419-002	0000024427-001	0000024430-001	0000024432-001	0000024457-003	0000024494-001	0000024541-001	0000024630-001	0000024650-017	0000024650-019	0000024679-001	0000024693-003	0000024817-009	0000024817-010	0000024817-013	0000024817-020	0000024817-024	0000024817-026	0000024856-001	0000024997-001	0000025003-005	0000025003-006	0000025055-001	0000025055-002	0000025083-001	0000025198-001	0000025272-001	0000025295-001	0000025386-001	0000025386-002	0000025503-001	0000025520-002	0000025520-003	0000025649-001	0000026059-001	0000026070-001	0000026087-007	0000026096-001	0000026174-024	0000026209-001	0000026274-001	0000026324-009	0000026332-001	0000026374-001	0000026374-002	0000026374-003	0000026374-004	0000026374-005	0000026411-001	0000026488-001	0000026529-001	0000026558-001	0000026562-001	0000026595-001	0000026597-001	0000026597-002	0000026628-001	0000026638-001	0000026638-003	0000026689-001	0000026689-002	0000026697-001	0000026894-001	0000026949-001	0000027143-001	0000027146-002	0000027328-001	0000027479-001	0000027508-003	0000027538-001	0000027538-002	0000027591-002	0000027750-001	0000027750-009	0000027769-018	0000027807-001	0000027810-001	0000027842-004	0000027847-004	0000027908-001	0000027908-002	0000027949-012	0000027996-001	0000028030-001	0000028030-002	0000028058-001	0000028099-001	0000028101-001	0000028101-002	0000028180-001	0000028180-002	0000028203-039	0000028203-040	0000028203-041	0000028203-044	0000028233-004	0000028253-001	0000028396-001	0000028426-002	0000028447-001	0000028573-001	0000028621-003	0000028621-020	0000028621-033	0000028721-001	0000028778-003	0000028838-001	0000028846-001	0000028910-001	0000029023-002	0000029023-004	0000029071-012	0000029262-001	0000029433-001	0000029433-002	0000029443-008	0000029493-001	0000029520-001	0000029567-003	0000029576-002	0000029624-001	0000029695-001	0000029695-002	0000029695-004	0000029702-001	0000029709-004	0000029713-009	0000029713-013	0000029764-001	0000029858-001	0000029862-001	0000029870-001	0000029985-001	0000030003-002	0000030047-002	0000030082-001	0000030114-005	0000030177-001	0000030179-002	0000030179-003	0000030179-004	0000030186-001	0000030244-001	0000030276-001	0000030444-001	0000030446-001	0000030488-001	0000030596-002	0000030614-001	0000030716-009	0000030716-012	0000030720-001	0000030724-001	0000030727-001	0000030727-002	0000030739-005	0000030763-001	0000030775-001	0000030775-004	0000030896-001	0000030986-001	0000031064-004	0000031103-002	0000031136-001	0000031154-001	0000031181-001	0000031181-003	0000031181-005	0000031264-002	0000031281-001	0000031290-001	0000031311-002	0000031311-003	0000031359-005	0000031411-005	0000031435-017	0000031435-018	0000031452-001	0000031462-001	0000031513-001	0000031562-005	0000031603-001	0000031675-002	0000031717-003	0000031721-001	0000031760-001	0000031760-002	0000031765-001	0000031765-003	0000031765-008	0000031789-002	0000031806-001	0000031825-001	0000031854-004	0000031880-002	0000031901-001	0000031970-001	0000032128-001	0000032222-001	0000032468-001	0000032474-001	0000032474-003	0000032486-008	0000032528-005	0000032631-001	0000032714-026	0000032731-007	0000032761-001	0000032836-002	0000032979-001	0000033056-001	0000033059-001	0000033323-002	0000033325-004	0000033325-007	0000033328-005	0000033365-001	0000033377-002	0000033377-003	0000033451-001	0000033451-004	0000033457-001	0000033525-001	0000033541-007	0000033541-026	0000033541-030	0000033541-032	0000033541-033	0000033541-051	0000033637-001	0000033658-001	0000033688-001	0000033720-001	0000033751-001	0000033816-001	0000033895-001	0000033938-001	0000034132-001	0000034180-001	0000034196-001	0000034239-001	0000034371-005	0000034403-033	0000034403-035	0000034475-001	0000034487-001	0000035473-001	0000035599-001	0000035622-001	0000035747-001	0000035755-001	0000035776-001	0000035776-007	0000035776-009	0000035844-002	0000035844-003	0000035963-007	0000035963-008	0000035963-009	0000036050-020	0000036050-021	0000036050-022	0000036065-001	0000036065-003	0000036181-001	0000036193-008	0000036267-001	0000036278-001	0000036278-009	0000036278-017	0000036278-022	0000036278-023	0000036278-026	0000036278-027	0000036278-028	0000036296-001	0000036313-003	0000036351-001	0000036355-001	0000036359-001	0000036359-002	0000036359-003	0000036359-004	0000036359-005	0000036359-006	0000036359-007	0000036504-001	0000036507-001	0000036582-002	0000036598-001	0000036598-002	0000036605-001	0000036605-002	0000036611-003	0000036667-001	0000036667-002	0000036667-004	0000036761-003	0000036832-004	0000036905-001	0000036919-001	0000036927-001	0000036951-003	0000036951-005	0000036992-010	0000036992-013	0000037004-026	0000037042-002	0000037042-008	0000037220-001	0000037230-001	0000037230-002	0000037230-003	0000037230-004	0000037230-005	0000037230-006	0000037230-011
a and a half	0000014582-002
a babe in arms	0000002104-001
a babe in the woods	0000002104-002
aback	0000000010-001
a bad dream	0000009681-001
a bad lot	0000019204-001
a bad rap 	0000026597-001
a bad rap	0000026597-001
a bag of bones	0000002216-001
a ball of fire	0000002271-001
abandon	0000000013-001	0000000013-002
abandon oneself to 	0000000013-001
abandon ship	0000000013-002
a baptism by fire	0000002376-001
a baptism of fire	0000002376-001
abase	0000000016-001
a base on balls	0000002472-001
abase oneself	0000000016-001
a beast of burden	0000002624-001
abet	0000000039-001
abide	0000000044-001
abide by 	0000000044-001
ability	0000000046-001
a bill of rights	0000002994-001
a bird of paradise	0000003048-001
a bird of passage	0000003048-002
a bird of prey	0000003048-003
a bit at a time	0000003086-004
a bit much	0000003086-001
a bit of 	0000003086-002
a bit of a little bit of 	0000003086-002
a bitter pill	0000024430-001
a bitter pill for to swallow	0000024430-001
a bitter pill to swallow	0000024430-001
a blast from the past	0000003172-001
able	0000000049-001	0000030211-010
a blessing in disguise	0000003202-001
a block of flats	0000012204-001
aboard	0000000058-001	0000000058-002
a bolt from the blue	0000003438-001
 a bolt from the blue	0000003438-001
a bolt out of the blue	0000003438-001
a bone of contention	0000003460-001
about 	0000000072-003
 about 	0000000072-003
about	0000000072-001	0000000072-002	0000000072-003	0000000072-004	0000000072-005	0000000072-006	0000000072-007	0000000787-030	0000001596-003	0000001818-001	0000002333-001	0000002337-001	0000002337-002	0000003460-006	0000003593-001	0000003858-002	0000004100-002	0000004185-001	0000004193-006	0000004650-013	0000004726-003	0000004793-001	0000006188-009	0000006442-001	0000007568-003	0000009474-001	0000011132-001	0000011512-002	0000011865-001	0000011865-002	0000012059-008	0000012461-003	0000012487-006	0000013199-001	0000013571-012	0000013623-001	0000013796-014	0000013796-015	0000013796-016	0000014700-007	0000014700-008	0000014700-009	0000014700-021	0000014800-001	0000014971-003	0000014971-010	0000015040-001	0000015618-007	0000015730-002	0000015730-003	0000015730-004	0000017880-001	0000017880-003	0000017986-004	0000017986-005	0000018113-003	0000018113-004	0000018121-010	0000018121-015	0000018121-022	0000018731-003	0000019150-009	0000019150-010	0000019150-011	0000020321-003	0000020321-004	0000020321-005	0000020755-003	0000020923-015	0000020945-004	0000020945-005	0000021006-001	0000021031-001	0000021211-003	0000021248-002	0000022100-019	0000022563-010	0000022574-009	0000022800-012	0000022897-005	0000022917-003	0000024379-001	0000024516-001	0000024650-003	0000024840-002	0000026174-005	0000026194-008	0000026352-001	0000026722-010	0000028077-003	0000028077-004	0000028233-001	0000028621-004	0000028828-001	0000029071-024	0000029071-025	0000029360-001	0000030031-003	0000030064-002	0000030293-001	0000030946-010	0000032731-006	0000032731-008	0000033039-016	0000033325-004	0000033325-007	0000033328-020	0000034262-004	0000034403-001	0000035282-010	0000036033-010	0000036278-038	0000036278-075	0000036380-002	0000036515-005	0000036515-006	0000036885-002
above	0000000075-001	0000000075-002	0000000075-003	0000000075-004	0000003354-001	0000007724-017	0000014308-001	0000014909-002	0000014909-029	0000014909-044	0000015016-004	0000023028-002	0000023451-001	0000024566-021	0000026194-009	0000027397-001	0000027842-001	0000032432-001
above all	0000000075-001
above all 	0000000075-001
above all else	0000000075-001
above board	0000003354-001
above ground	0000014308-001
above par	0000023451-001
above reproach	0000027397-001
above suspicion	0000032432-001
abreast	0000000083-001
a breath of fresh air	0000003786-001
absence	0000018510-001
abstract	0000000120-001
a bull in a china shop	0000004067-001
a bum rap	0000026597-001
abundance	0000000128-001
a bundle of 	0000004115-001
a burr in the saddle	0000004175-001
a burr under the saddle	0000004175-001
a busy bee	0000002690-001
a can of worms	0000004463-001
a canteen of cutlery	0000004535-001
a captive audience	0000004596-001
accident	0000000170-001	0000000170-002
accidents	0000005137-001
acclamation	0000000177-001
accommodate	0000000183-001
accommodate oneself to 	0000000183-001
accommodate to 	0000000183-001
accord	0000000193-001	0000000193-002	0000000193-003
accordance	0000000194-001
according	0000018784-001
according to ones lights	0000018784-001
account	0000000199-002	0000000199-003	0000000199-004	0000000199-005	0000000199-006	0000000199-007	0000000199-008	0000000199-009	0000000199-010	0000000199-011	0000000199-012	0000000199-013
accounted	0000025429-001
account for 	0000000199-013
accounts	0000000199-001
accurate	0000000216-001
accused	0000000221-001
accustom	0000000224-001
accustom oneself to 	0000000224-001
ace	0000000227-001	0000000227-003
aces	0000000227-002
a change for the better 	0000005113-003
a change for the better	0000005113-003
a change for the worse	0000005113-003
a change of pace	0000005113-004
a change of scene	0000005113-005
a change of scene 	0000005113-005
a change of scenery	0000005113-005
a chapter of accidents	0000005137-001
aches	0000000232-001
aches and pains	0000000232-001
a chink in s armor	0000005359-001
a chip off the old block	0000005365-001
a clean bill of health	0000002994-002
a clean sheet	0000029520-001
a clean slate	0000030186-001
a close shave	0000029493-001
a cloud on the horizon	0000005836-001
a coat of arms	0000005913-001
a cog in the machine 	0000006010-001
a cog in the machine	0000006010-001
a cog in the wheel	0000006010-001
a competitive edge	0000006332-001
a council of war	0000007126-001
acquaint	0000000257-001
acquaintance	0000000258-001	0000000258-002	0000000258-003	0000000258-004	0000021943-001
acquainted	0000000259-001
acquaint oneself with 	0000000257-001
acquit	0000000266-001
acquit oneself badly	0000000266-001
acquit oneself well	0000000266-001
acquit oneself well 	0000000266-001
a creature of habit	0000007355-001
across	0000000277-001	0000003354-002	0000006188-010	0000006188-011	0000006188-012	0000006188-013	0000007170-001	0000007724-004	0000013571-013	0000013571-014	0000013571-015	0000013796-017	0000024970-001	0000026194-010	0000026194-011	0000028203-004	0000031960-001
across country	0000007170-001
across from 	0000000277-001
across the board	0000003354-002
across the pond	0000024970-001
a crying need	0000007570-001
act	0000000280-001	0000000280-002	0000000280-003	0000000280-004	0000000280-005	0000000280-006	0000000280-007	0000000280-008	0000000280-009	0000000280-010	0000000280-011	0000000564-001	0000011503-001	0000012487-001	0000015831-001	0000027826-001
act as 	0000000280-007
act for 	0000000280-008
action	0000000282-001	0000000282-002	0000000282-003	0000000282-004	0000000282-005	0000000282-006	0000011026-001
act on 	0000000280-009
act on a hunch	0000015831-001
act on behalf of 	0000000280-008
act ones age	0000000564-001
act out	0000000280-010
act the fool	0000012487-001
actual	0000000294-001	0000011449-007
actuality	0000000295-001
act up	0000000280-011
act upon 	0000000280-009
a damsel in distress	0000007845-001
adapt	0000000311-001
adapt oneself to 	0000000311-001
add	0000000316-002	0000000316-003	0000000316-004	0000000316-005	0000000316-006	0000000316-007	0000013032-001	0000017027-001
added	0000000316-001
added to that 	0000000316-001
added to this 	0000000316-001
add fuel to the fire 	0000013032-001
add fuel to the fire	0000013032-001
add fuel to the flames	0000013032-001
add in	0000000316-003
add insult to injury	0000017027-001
addition	0000000325-001	0000000325-002
add on	0000000316-004
address	0000000330-001	0000000330-002
address oneself to 	0000000330-002
add to 	0000000316-005
add to that 	0000000316-002
add to this 	0000000316-002
add up	0000000316-006
add up to 	0000000316-007
a dead ringer 	0000027810-001
a dead ringer	0000027810-001
a dead ringer for 	0000027810-001
a deal of 	0000007987-001
a devil of a 	0000008616-001
a diamond in the rough	0000008667-001
a different ball game	0000002280-001
a different kettle of fish	0000017964-002
adjust	0000000361-001
adjust oneself to 	0000000361-001
admission	0000000381-001
admit	0000000383-001	0000000383-002	0000003618-004	0000014872-001	0000021371-001
admit of 	0000000383-001
admitted	0000002380-001
admit to 	0000000383-002
ado	0000000391-001
a dog in the manger	0000019705-001
adrift	0000000408-001
a drop in the bucket 	0000009771-015
a drop in the bucket	0000009771-015
a drop in the ocean	0000009771-015
advance	0000000421-001	0000000421-002
advanced	0000000422-001
advanced in age	0000000422-001
advanced in years	0000000422-001
advantage	0000000425-001	0000000425-002	0000000425-003	0000000425-004
aegis	0000000460-001
a face like thunder	0000033457-001
a fact of life	0000011449-001
a fair crack of the whip	0000007273-008
afar	0000000482-001
a far cry from 	0000007568-009
a fat chance	0000011639-001
a fate worse than death	0000011646-001
a fat lot of good	0000011639-002
a fat lot of use	0000011639-002
a feathered friend	0000011710-001
a feather in s cap	0000011708-001
a few more 	0000021048-002
a few more	0000021048-001
affairs	0000000487-001
affirmative	0000000504-001
afford	0000016083-001
afield	0000000522-001
a field of fire	0000011872-001
a fight to the death	0000011906-010
a fight to the death 	0000011906-010
a fight to the finish	0000011906-010
a figment of ones imagination	0000011913-001
a figure of fun	0000011916-001
a fine kettle of fish	0000017964-001
a fine line between and 	0000018863-001
a flash in the pan	0000012191-004
a fly in the ointment	0000012393-001
a fly on the wall	0000012393-002
a fools errand	0000010845-001
a forest of 	0000012599-001
a form of address	0000000330-001
afoul	0000000530-001
afraid	0000000532-001
a frame of reference	0000012776-001
a freak of fate	0000012820-001
a freak of nature	0000012820-002
a fresh lease of life	0000018502-001
a fresh lease on life	0000018502-001
after	0000000542-001	0000000542-004	0000001702-007	0000002433-001	0000003251-001	0000004384-005	0000006188-014	0000007934-009	0000007934-039	0000007934-040	0000011047-007	0000011449-002	0000011620-001	0000011620-002	0000013571-016	0000013796-018	0000014582-005	0000014981-001	0000015686-001	0000015686-005	0000016897-001	0000017935-006	0000017935-007	0000018965-013	0000019150-012	0000019150-013	0000019150-014	0000020834-001	0000020923-013	0000020999-006	0000020999-008	0000021459-022	0000021812-005	0000021854-008	0000022563-002	0000022574-005	0000022574-006	0000022574-011	0000022897-007	0000028203-005	0000029071-026	0000032714-007	0000032869-001	0000033325-005	0000033349-001	0000033541-066	0000033739-003	0000036359-010	0000036359-012	0000036870-001	0000037230-015	0000037230-017
After	0000000542-002	0000000542-003
after a fashion	0000011620-001
after a little	0000018965-013
after all	0000000542-001
after hours	0000015686-001
afternoon	0000000548-001
after s own heart	0000014981-001
after tax	0000032869-001
after the fact	0000011449-002
after the fashion of 	0000011620-002
After you	0000000542-002
After you with 	0000000542-003
a full-time job	0000013069-001
