$	0000028274
A & E	0000000009
Q & A	0000026237
B & B	0000002324
b & b	0000002324
R & B	0000026573
C & W	0000004492
R & D	0000026574
R & R	0000026582
2020 vision	0000034460
911	0000021895
PG-13	0000024196
NC-17	0000021598
COVID-19	0000007237
catch-22	0000004839
3-D	0000033397
MP3	0000021231
44	0000012729
B4	0000002911
G7	0000014368
G8	0000013420
999	0000021894
@	0000000006
a	0000000001	0000000002
A	0000000001	0000000003
a-	0000000004	0000000005
AA	0000000007
AAA	0000000008
yadda yadda yadda	0000037198
yada yada yada	0000037198
Hawaii-Aleutian Standard Time	0000014877
abracadabra	0000000078
relational database	0000027176
savings and loan association	0000028600
Australian Capital Territory	0000001971
Appalachian Mountains	0000001351
Panama Canal	0000023369
Alaska Standard Time	0000000732
sabbatical year	0000028278
bacchanalian	0000002123
International Phonetic Alphabet	0000017166
Bahama Islands	0000002230
Saudi Arabia	0000028583
ambassadorial	0000000933
Arabian Nights Entertainments	0000001473
language laboratory	0000018293
manual alphabet	0000019764
balalaika	0000002251
Alabama	0000000715
Alabaman	0000000716
lackadaisical	0000018202
parent-teacher association	0000023527
Cape Canaveral	0000004557
African-American	0000000536
whatchamacallit	0000036517
Atlantic Standard Time	0000001841
Academy Award	0000000146
dual carriageway	0000009838
Scandinavian Peninsula	0000028657
Naval Academy	0000021576
Vasco da Gama	0000035557
Madagascar	0000019480
macadamia	0000019444
Japanese-American	0000017585
Malay Archipelago	0000019628
Asian-American	0000001697
Magna Carta	0000019524
Appalachians	0000001352
catamaran	0000004826
arranged marriage	0000001605
personal digital assistant	0000024105
Galapagos Islands	0000013223
Hawaiian Islands	0000014879
Mariana Islands	0000019807
Dalai Lama	0000007820
Hawaii-Aleutian Time	0000014877
Trafalgar Square	0000033962
amalgamate	0000000917
extravaganza	0000011360
paraphernalia	0000023496
qualitative analysis	0000026268
quantitative analysis	0000026279
parliamentarian	0000023555
on-again off-again	0000022564
Niagara Falls	0000021826
Rastafarianism	0000026637
Rastafarian	0000026636
phantasmagoria	0000024203
amalgamation	0000000918
panama hat	0000023370
Australasian	0000001968
