10年間	0000802100-005
1319歳ニ特有ノ	0001256104-1025	0001256108-2049
1319歳ノ	0001256104-1025	0001256108-2049
夜中ノ12時	0000743104-1025
分割払イノ1回分	0000796110-2561
コース1周	0000477111-2818
1本	0000810111-2817
1秒	0000714109-2305
2位ニナルチーム	0000679100-005
2位ニナル人	0000679100-004
take sbs breath away	0000557108
make the acquaintance of sb	0000706305
make sbs acquaintance	0000706305
balance sth against sth	0000174106
balance against sth	0000174106
balance sth against 	0000174106
balance against 	0000174106
take breath away	0000557108
make a pass at sb	0000438106
make the acquaintance of 	0000706305
make acquaintance	0000706305
make a pass at 	0000438106
take sb aback	0001103109
sabbatical	0000528110
a pat on the back	0000834109
approachable	0000464111
take aback	0001103109
aid and abet	0000518109
adaptable	0000437107
unmanageable	0001184107
available	0000070100	0000459304	0000070103
unattainable	0000556107
acquaintance	0000463108	0000465106
camaraderie	0000465108
appearance	0000043100	0000054104	0000043103
affirmative action	0000307107
match sth against sth	0000174107
match against sth	0000174107
match sth against 	0000174107
match against 	0000174107
disadvantaged	0000825105
disadvantageous	0000293210
disadvantage	0000298100	0000298103
take it for granted that	0001172106
advantageous	0001211211
avant-garde	0000394107
advantage	0000088104
now and again	0001045107
haphazard	0000887104
at a standstill	0001075108
adaptation	0000132212
make a name for yourself	0001090108
have a great time	0000816107
make a name for 	0001090108
leave a mark	0000021110
take a seat	0001025106
state of affairs	0001026109
passageway	0000211108
euthanasia	0000726110
have a part	0000623110
assassinate	0000632106
make a mark	0001090105
go as far as to	0000243105
paramilitary	0000501110
totalitarian	0000940105
assassination	0000726106
appraisal	0000059106
paranoia	0000418111
play a part	0000623110
panorama	0001219206
apparatus	0000363107	0001112107
pass away	0000289105
stab sb in the back	0001127205
stab in the back	0001127205
fall back on sb	0001204111
barbaric	0000233108
crazy about sb	0000584104
be aimed at sb	0000444106
abbreviated	0001011306
hold sb at bay	0000945105
break sbs heart	0000540107
keep sb at bay	0000945105
unbearable	0001181107
be against sb	0000023100
be on a par with sb	0000174207
abominable	0000311209
pit sb against sb	0000176110
in all probability	0000853109
unacceptable	0001181100	0001181103
acceptable	0000012107	0000430107	0000962204
scale sth back	0000239107
backpacker	0001158109
scale back	0000239107
bureaucracy	0000069104	0000111100	0000111103
accountability	0000950111
backtrack	0000105409
barricade	0000080104	0000098206
unbalanced	0000091109
broadcaster	0000843107
hand sth back	0000954208
hand back	0000954208
laid-back	0000118110
drawback	0000298104
interchangeable	0000361111
irreplaceable	0001211106
take care of sb	0000678104
in the balance	0001182108
achievable	0000829109
inescapable	0000574106
take sth back	0000105408	0000954206
inapplicable	0000616107
applicable	0000923104
amicable	0000464205
imbalance	0000291107
intractable	0001184105
take back	0000105408	0000954206
comparable	0000364104
capable	0000491409
cant bear	0000510108
bureaucrat	0000757111
fall back on sth	0001204111
cast about for sth	0000677209
fabrication	0000660107
fall back on 	0001204111
cast about for 	0000677209
capability	0000001104
blackmail	0000213106
abstraction	0000542109
lock sb away	0000620107
collaborator	0000790110
vocabulary	0000640104
crazy about 	0000584104
abstract	0000594107	0001095108
make sb redundant	0000432108
understandable	0000751106
lend sb a hand	0000518110
abandoned	0000277104
few and far between	0000982107
take sb for granted	0001172106
be aimed at sth	0000279204
be aimed at 	0000279204	0000444106
embarrassed	0000347100	0000347103
affordable	0000138107
stand in awe of sb	0000948107
bear in mind that	0000930105
take sth on board	0000025108
admirable	0001252106
unavoidable	0000574105
advisable	0000089107
draw attention to sb	0000821105
unsubstantiated	0000615108
adjustable	0000437105
make sbs day	0000817106
take on board	0000025108
adorable	0001109105
seaboard	0000163111
wash your hands of sb	0000916106
wash hands of sb	0000916106
what sb is driving at	0000703208
hold out against sb	0000945107
law-abiding	0000949107
hold sth at bay	0000945105
hold at bay	0000945105
abandon	0000653404	0001078107
Member of Parliament	0000824110
a safe bet	0000770107
heartbreaking	0000975107
learn sth by heart	0000652113
rehabilitate	0000236106
keep sth at bay	0000945105
heartbreak	0000498110
break heart	0000540107
learn by heart	0000652113
unremarkable	0000071107
remarkable	0000929100	0000929104
keep at bay	0000945105
pleasurable	0000742107
unreasonable	0000522108	0001181104
reasonable	0000012105	0000138108	0000430109	0000899100	0000899103
elaborate	0000180105
fashionable	0000412100	0000412103
unfavourable	0000293209
favourable	0000491605	0001211206
what sb is getting at	0000703208
garbage	0000744108	0001230104
breathtaking	0000031107
be against sth	0000023100
laughable	0000960109
imaginable	0000829207
be against 	0000023100
give sb away	0000955110
barrage	0000439205
be on a par with sth	0000174207
be on a par with 	0000174207
have a job	0001246105
unmistakable	0000699107
amiable	0000464107
ambivalent	0001197107
variable	0001215100	0001215103
substantiate	0000188106
arbitrate	0000605106
valuables	0001142212
valuable	0001211100	0001211200	0001211203	0001211103
reasonably	0000882108
embarrass	0000346100	0000346104
bargain for sth	0000389111
bargain for 	0000389111
go against sb	0000765109
pit sb against sth	0000176110
pit sth against sb	0000176110
bargain on sth	0000389111
laugh at sb	0000645100
pit sb against 	0000176110
pit against sb	0000176110
bargain on 	0000389111
bargain	0000026108	0000738106
inhabitant	0000944105
habitually	0000759107
habitual	0000462111	0001208109
variability	0000132108
substantial	0000641106
arbitrator	0000739106
acceptance	0000047105
characteristic	0000419104	0001179104
inaccuracy	0000717205
medical care	0001166109
academic	0000337104	0000594109
calculated	0000263108
cascade	0000442110
accommodating	0000519107
the chances are	0000853107
accelerate	0000003100	0000003103
chances are	0000853107
incarcerate	0000620110
clearance	0000804107
categorical	0000427111
catchphrase	0001030107
the aristocracy	0000345106
character	0000137105	0000732104	0000806110	0000807105	0000941109
practicalities	0000082107
inaccurate	0001255107
caricature	0000786104
calculate	0000116100	0000369107	0000116103
accumulate	0000165105
spectacular	0000558105	0000688106
accurate	0000374105
classification	0000128108
charismatic	0000742208
occasionally	0001045104
calculation	0000368105
practically	0000030108
classical	0001161106
acclaim	0000834106	0000835109
occasional	0000752100	0000752103
practical	0000829105	0000897105	0001135209	0001206106
accusation	0000134104
captaincy	0000694107
autocratic	0000940108
capacity	0000001105
sarcastic	0000614105
vacancy	0000622106
handicapped	0000297104
candidate	0000122100	0000122103
advanced	0000719105
advancement	0000859109
fascinated	0000601105
managing director	0000649109
cathedral	0000148107
educationalist	0001124108
declaration	0001068107
educational	0000337100	0000337103
scandalize	0001010109
associated	0000918104
landscape	0000217204
calendar	0000984106
advances	0000756106
advance	0000285108	0000489111	0000671106	0000859105	0000865107
advocate	0000647109	0000903106
cast around for sth	0000677209
aficionado	0000395110
cast around for 	0000677209
handicap	0000098105	0000750109
dictatorial	0000940107
radical	0000473105	0000885100	0000885104
dramatic	0000384105
audacity	0000219109
scandalous	0000776108
cant stand	0000510106
take care of yourself	0001116100	0001116103
all over the place	0001198106
peacemaker	0000739108
affectionate	0000685106
congratulate yourself	0000099108
take care of sth	0000248105
take care of 	0000248105	0000678104	0001116100
large-scale	0001237106
the human race	0000693206
heartache	0000498109
authenticate	0000188110
clear the way	0000518208
appreciative	0000491609	0000495107
emancipate	0000922109
appreciate	0000046100	0000636105	0000046103
marketplace	0001159109
take place	0000506105
escalate	0000963108
reassurance	0000925105
at peace	0000246107
matter-of-fact	0000897109
far-reaching	0001237110
camouflage	0000521109
fragrance	0001034106
facilitate	0000518204
fascinate	0000600107
court of appeal	0000220107
manufacturer	0000692104
manufacture	0000696100	0000856109	0000696103
artefact	0001142108
castigate	0000985109
congratulate 	0000099108
congratulate	0000835105
catalogue	0000667106	0000999109
arrogance	0000850104
apathetic	0000570109
clear your throat	0000215106
clear throat	0000215106
archetypal	0001179108
attachment	0000683207
catastrophe	0000227108	0000304105
inarticulate	0001022107
sectarianism	0000884111
appreciation	0000014109	0001137105	0001186109
anticipate	0000389105
participate	0000623105
alliance	0001193107
immaculate	0000800109
compassionate	0000998107
vacationer	0001158107
ascertain	0000429307
unattractive	0001180106
variance	0000291108
assistance	0000517104
associate	0000790105	0000917104
captivate	0000265106
attractive	0000084107	0000084206	0000826104
allowance	0001004107
classmate	0000790108
annoyance	0000468105
assurance	0000186107	0000861109
traffic jam	0001162105
fascinating	0000602105
manufacturing	0000856106
qualification	0000185107
artificial	0000057100	0000057103
financial	0000334104
fascination	0000599110
satisfaction	0000978100	0000978103
unsatisfactory	0000302104
fantastic	0000496105
fanatic	0000410108
satisfactory	0000430108
fallacy	0000550108
